theme,variant,d,embedding_dimension
mielenterveys,p2,2.0,61
mielenterveys,p3,,93
mielenterveys,p3,0.0,694
mielenterveys,p3,1.0,95
mielenterveys,p3,2.0,93
monimuotoisuus,p2,,67
monimuotoisuus,p2,0.0,509
monimuotoisuus,p2,1.0,70
monimuotoisuus,p2,2.0,71
monimuotoisuus,p3,,65
monimuotoisuus,p3,0.0,363
monimuotoisuus,p3,1.0,65
monimuotoisuus,p3,2.0,66
ilmasto,p1,,245
ilmasto,p1,0.0,1377
ilmasto,p1,1.0,262
ilmasto,p1,2.0,266
ilmasto,p2,,122
ilmasto,p2,0.0,914
ilmasto,p2,1.0,119
ilmasto,p2,2.0,127
ilmasto,p3,,153
ilmasto,p3,0.0,862
ilmasto,p3,1.0,126
ilmasto,p3,2.0,149
vihreät,p1,,110
vihreät,p1,0.0,878
vihreät,p1,1.0,107
vihreät,p1,2.0,110
vihreät,p2,,78
vihreät,p2,0.0,598
vihreät,p2,1.0,83
vihreät,p2,2.0,88
vihreät,p3,,92
vihreät,p3,0.0,725
vihreät,p3,1.0,95
vihreät,p3,2.0,97
FINNS,p1,,93
FINNS,p1,0.0,704
FINNS,p1,1.0,82
FINNS,p1,2.0,87
FINNS,p2,,77
FINNS,p2,0.0,687
FINNS,p2,1.0,72
FINNS,p2,2.0,78
FINNS,p3,,61
FINNS,p3,0.0,722
FINNS,p3,1.0,51
FINNS,p3,2.0,61
osaaminen,p2,,144
osaaminen,p2,0.0,435
osaaminen,p2,1.0,132
osaaminen,p2,2.0,143
osaaminen,p3,,158
osaaminen,p3,0.0,468
osaaminen,p3,1.0,162
osaaminen,p3,2.0,162
turku,p1,,232
turku,p1,0.0,1078
turku,p1,1.0,221
turku,p1,2.0,236
turku,p2,,197
turku,p2,0.0,909
turku,p2,1.0,194
turku,p2,2.0,197
turku,p3,,175
turku,p3,0.0,1249
turku,p3,1.0,176
turku,p3,2.0,173
suomi,p1,,76
suomi,p1,0.0,2149
suomi,p1,1.0,68
suomi,p1,2.0,76
suomi,p2,,41
suomi,p2,0.0,2100
suomi,p2,1.0,38
suomi,p2,2.0,40
suomi,p3,,56
suomi,p3,0.0,3032
suomi,p3,1.0,56
suomi,p3,2.0,57
politiikka,p1,,134
politiikka,p1,0.0,1712
politiikka,p1,1.0,134
politiikka,p1,2.0,149
politiikka,p2,,154
politiikka,p2,0.0,1466
politiikka,p2,1.0,157
politiikka,p2,2.0,154
politiikka,p3,,166
politiikka,p3,0.0,1344
politiikka,p3,1.0,147
politiikka,p3,2.0,163
talous,p1,,242
talous,p1,0.0,742
talous,p1,1.0,233
talous,p1,2.0,245
talous,p2,,210
talous,p2,0.0,658
talous,p2,1.0,201
talous,p2,2.0,209
talous,p3,,139
talous,p3,0.0,657
talous,p3,1.0,138
talous,p3,2.0,139
työllisyys,p1,,142
työllisyys,p1,0.0,558
työllisyys,p1,1.0,150
työllisyys,p1,2.0,144
työllisyys,p2,,135
työllisyys,p2,0.0,426
työllisyys,p2,1.0,130
työllisyys,p2,2.0,139
työllisyys,p3,,137
työllisyys,p3,0.0,491
työllisyys,p3,1.0,129
työllisyys,p3,2.0,137
vasemmisto,p1,,78
vasemmisto,p1,0.0,448
vasemmisto,p1,1.0,70
vasemmisto,p1,2.0,75
vasemmisto,p2,,49
vasemmisto,p2,0.0,281
vasemmisto,p2,1.0,40
vasemmisto,p2,2.0,46
hallitusohjelma,p2,,245
hallitusohjelma,p2,0.0,1055
hallitusohjelma,p2,1.0,244
hallitusohjelma,p2,2.0,249
hallitusohjelma,p3,,625
hallitusohjelma,p3,0.0,2694
hallitusohjelma,p3,1.0,621
hallitusohjelma,p3,2.0,622
sak,p1,,34
sak,p1,0.0,565
sak,p1,1.0,23
sak,p1,2.0,31
sak,p2,,30
sak,p2,0.0,551
sak,p2,1.0,28
sak,p2,2.0,30
sak,p3,,6
sak,p3,0.0,462
sak,p3,1.0,4
sak,p3,2.0,6
kokoomus,p1,,165
kokoomus,p1,0.0,1129
kokoomus,p1,1.0,157
kokoomus,p1,2.0,157
kokoomus,p2,,71
kokoomus,p2,0.0,611
kokoomus,p2,1.0,70
kokoomus,p2,2.0,73
kokoomus,p3,,55
kokoomus,p3,0.0,358
kokoomus,p3,1.0,53
kokoomus,p3,2.0,55
CENTRE,p1,,100
CENTRE,p1,0.0,661
CENTRE,p1,1.0,101
CENTRE,p1,2.0,99
CENTRE,p2,,93
CENTRE,p2,0.0,621
CENTRE,p2,1.0,115
CENTRE,p2,2.0,108
CENTRE,p3,,81
CENTRE,p3,0.0,424
CENTRE,p3,1.0,80
CENTRE,p3,2.0,79
rasismi,p1,,50
rasismi,p1,0.0,519
rasismi,p1,1.0,51
rasismi,p1,2.0,51
rasismi,p3,,56
rasismi,p3,0.0,505
rasismi,p3,1.0,57
rasismi,p3,2.0,57
luonto,p1,,101
luonto,p1,0.0,711
luonto,p1,1.0,102
luonto,p1,2.0,102
luonto,p2,,99
luonto,p2,0.0,816
luonto,p2,1.0,94
luonto,p2,2.0,101
luonto,p3,,135
luonto,p3,0.0,788
luonto,p3,1.0,135
luonto,p3,2.0,138
perussuomalaiset,p1,,64
perussuomalaiset,p1,0.0,536
perussuomalaiset,p1,1.0,56
perussuomalaiset,p1,2.0,62
perussuomalaiset,p2,,49
perussuomalaiset,p2,0.0,497
perussuomalaiset,p2,1.0,49
perussuomalaiset,p2,2.0,49
perussuomalaiset,p3,,39
perussuomalaiset,p3,0.0,336
perussuomalaiset,p3,1.0,37
perussuomalaiset,p3,2.0,38
turpo,p1,,123
turpo,p1,0.0,827
turpo,p1,1.0,96
turpo,p1,2.0,117
turpo,p2,,56
turpo,p2,0.0,617
turpo,p2,1.0,48
turpo,p2,2.0,52
turpo,p3,,53
turpo,p3,0.0,782
turpo,p3,1.0,48
turpo,p3,2.0,52
koulutus,p1,,342
koulutus,p1,0.0,1319
koulutus,p1,1.0,342
koulutus,p1,2.0,343
koulutus,p2,,300
koulutus,p2,0.0,873
koulutus,p2,1.0,292
koulutus,p2,2.0,302
koulutus,p3,,274
koulutus,p3,0.0,844
koulutus,p3,1.0,265
koulutus,p3,2.0,272
ECONOMICPOLICY,p1,,351
ECONOMICPOLICY,p1,0.0,1369
ECONOMICPOLICY,p1,1.0,360
ECONOMICPOLICY,p1,2.0,359
ECONOMICPOLICY,p2,,296
ECONOMICPOLICY,p2,0.0,1125
ECONOMICPOLICY,p2,1.0,288
ECONOMICPOLICY,p2,2.0,298
ECONOMICPOLICY,p3,,281
ECONOMICPOLICY,p3,0.0,1156
ECONOMICPOLICY,p3,1.0,301
ECONOMICPOLICY,p3,2.0,288
metsä,p2,,73
metsä,p2,0.0,386
metsä,p2,1.0,69
metsä,p2,2.0,73
metsä,p3,,112
metsä,p3,0.0,379
metsä,p3,1.0,106
metsä,p3,2.0,113
hyvinvointi,p1,,250
hyvinvointi,p1,0.0,748
hyvinvointi,p1,1.0,258
hyvinvointi,p1,2.0,254
hyvinvointi,p2,,221
hyvinvointi,p2,0.0,614
hyvinvointi,p2,1.0,365
hyvinvointi,p2,2.0,222
hyvinvointi,p3,,221
hyvinvointi,p3,0.0,635
hyvinvointi,p3,1.0,227
hyvinvointi,p3,2.0,221
hallitus,p1,,92
hallitus,p1,0.0,865
hallitus,p1,1.0,101
hallitus,p1,2.0,114
hallitus,p2,,115
hallitus,p2,0.0,530
hallitus,p2,1.0,119
hallitus,p2,2.0,117
hallitus,p3,,159
hallitus,p3,0.0,1248
hallitus,p3,1.0,158
hallitus,p3,2.0,167
euvaalit2019,p2,,316
euvaalit2019,p2,0.0,2754
euvaalit2019,p2,1.0,327
euvaalit2019,p2,2.0,324
euvaalit2019,p3,,107
euvaalit2019,p3,0.0,588
euvaalit2019,p3,1.0,109
euvaalit2019,p3,2.0,107
vaalit2019,p1,,793
vaalit2019,p1,0.0,8198
vaalit2019,p1,1.0,791
vaalit2019,p1,2.0,792
vaalit2019,p2,,289
vaalit2019,p2,0.0,2893
vaalit2019,p2,1.0,307
vaalit2019,p2,2.0,303
liikenne,p1,,137
liikenne,p1,0.0,611
liikenne,p1,1.0,134
liikenne,p1,2.0,140
liikenne,p2,,129
liikenne,p2,0.0,425
liikenne,p2,1.0,128
liikenne,p2,2.0,129
liikenne,p3,,91
liikenne,p3,0.0,498
liikenne,p3,1.0,89
liikenne,p3,2.0,96
GREEN,p1,,116
GREEN,p1,0.0,930
GREEN,p1,1.0,111
GREEN,p1,2.0,116
GREEN,p2,,78
GREEN,p2,0.0,640
GREEN,p2,1.0,81
GREEN,p2,2.0,81
GREEN,p3,,92
GREEN,p3,0.0,731
GREEN,p3,1.0,102
GREEN,p3,2.0,101
LEFT,p1,,91
LEFT,p1,0.0,506
LEFT,p1,1.0,75
LEFT,p1,2.0,86
LEFT,p2,,55
LEFT,p2,0.0,328
LEFT,p2,1.0,46
LEFT,p2,2.0,64
LEFT,p3,,53
LEFT,p3,0.0,217
LEFT,p3,1.0,39
LEFT,p3,2.0,51
persut,p2,,34
persut,p2,0.0,370
persut,p2,1.0,38
persut,p2,2.0,34
persut,p3,,32
persut,p3,0.0,481
persut,p3,1.0,30
persut,p3,2.0,30
maahanmuutto,p1,,87
maahanmuutto,p1,0.0,600
maahanmuutto,p1,1.0,75
maahanmuutto,p1,2.0,84
maahanmuutto,p2,,60
maahanmuutto,p2,0.0,392
maahanmuutto,p2,1.0,37
maahanmuutto,p2,2.0,60
maahanmuutto,p3,,71
maahanmuutto,p3,0.0,420
maahanmuutto,p3,1.0,53
maahanmuutto,p3,2.0,72
eduskuntavaalit2019,p1,,315
eduskuntavaalit2019,p1,0.0,2784
eduskuntavaalit2019,p1,1.0,304
eduskuntavaalit2019,p1,2.0,318
eduskuntavaalit2019,p2,,95
eduskuntavaalit2019,p2,0.0,499
eduskuntavaalit2019,p2,1.0,123
eduskuntavaalit2019,p2,2.0,95
vaalit,p1,,311
vaalit,p1,0.0,2128
vaalit,p1,1.0,327
vaalit,p1,2.0,318
vaalit,p2,,104
vaalit,p2,0.0,821
vaalit,p2,1.0,101
vaalit,p2,2.0,98
NATIONAL,p1,,166
NATIONAL,p1,0.0,1135
NATIONAL,p1,1.0,158
NATIONAL,p1,2.0,157
NATIONAL,p2,,71
NATIONAL,p2,0.0,617
NATIONAL,p2,1.0,75
NATIONAL,p2,2.0,74
NATIONAL,p3,,55
NATIONAL,p3,0.0,364
NATIONAL,p3,1.0,55
NATIONAL,p3,2.0,52
työelämä,p1,,272
työelämä,p1,0.0,1209
työelämä,p1,1.0,279
työelämä,p1,2.0,290
työelämä,p2,,217
työelämä,p2,0.0,985
työelämä,p2,1.0,230
työelämä,p2,2.0,225
työelämä,p3,,242
työelämä,p3,0.0,1225
työelämä,p3,1.0,246
työelämä,p3,2.0,241
translaki,p1,,1
translaki,p1,0.0,879
translaki,p1,1.0,1
translaki,p1,2.0,1
translaki,p2,,34
translaki,p2,0.0,402
translaki,p2,1.0,28
translaki,p2,2.0,30
tasaarvo,p1,,276
tasaarvo,p1,0.0,1280
tasaarvo,p1,1.0,285
tasaarvo,p1,2.0,270
tasaarvo,p2,,81
tasaarvo,p2,0.0,718
tasaarvo,p2,1.0,86
tasaarvo,p2,2.0,72
tasaarvo,p3,,106
tasaarvo,p3,0.0,1113
tasaarvo,p3,1.0,102
tasaarvo,p3,2.0,125
ihmisoikeudet,p1,,90
ihmisoikeudet,p1,0.0,530
ihmisoikeudet,p1,1.0,75
ihmisoikeudet,p1,2.0,92
ihmisoikeudet,p2,,92
ihmisoikeudet,p2,0.0,426
ihmisoikeudet,p2,1.0,90
ihmisoikeudet,p2,2.0,96
ihmisoikeudet,p3,,95
ihmisoikeudet,p3,0.0,407
ihmisoikeudet,p3,1.0,95
ihmisoikeudet,p3,2.0,98
yrittäjät,p1,,100
yrittäjät,p1,0.0,410
yrittäjät,p1,1.0,98
yrittäjät,p1,2.0,99
yrittäjät,p2,,68
yrittäjät,p2,0.0,367
yrittäjät,p2,1.0,73
yrittäjät,p2,2.0,84
yrittäjät,p3,,64
yrittäjät,p3,0.0,318
yrittäjät,p3,1.0,7
yrittäjät,p3,2.0,62
SDP,p1,,108
SDP,p1,0.0,867
SDP,p1,1.0,109
SDP,p1,2.0,108
SDP,p2,,75
SDP,p2,0.0,588
SDP,p2,1.0,70
SDP,p2,2.0,73
SDP,p3,,47
SDP,p3,0.0,295
SDP,p3,1.0,52
SDP,p3,2.0,51
CLIMATE,p1,,451
CLIMATE,p1,0.0,6341
CLIMATE,p1,1.0,461
CLIMATE,p1,2.0,458
CLIMATE,p2,,456
CLIMATE,p2,0.0,2883
CLIMATE,p2,1.0,429
CLIMATE,p2,2.0,434
CLIMATE,p3,,389
CLIMATE,p3,0.0,2710
CLIMATE,p3,1.0,395
CLIMATE,p3,2.0,373
EDUCATION,p1,,527
EDUCATION,p1,0.0,3115
EDUCATION,p1,1.0,508
EDUCATION,p1,2.0,579
EDUCATION,p2,,447
EDUCATION,p2,0.0,1782
EDUCATION,p2,1.0,432
EDUCATION,p2,2.0,458
EDUCATION,p3,,361
EDUCATION,p3,0.0,1797
EDUCATION,p3,1.0,345
EDUCATION,p3,2.0,362
viestintä,p1,,330
viestintä,p1,0.0,1006
viestintä,p1,1.0,352
viestintä,p1,2.0,354
viestintä,p2,,265
viestintä,p2,0.0,917
viestintä,p2,1.0,283
viestintä,p2,2.0,272
viestintä,p3,,271
viestintä,p3,0.0,810
viestintä,p3,1.0,298
viestintä,p3,2.0,287
sananvapaus,p2,,69
sananvapaus,p2,0.0,452
sananvapaus,p2,1.0,78
sananvapaus,p2,2.0,73
sananvapaus,p3,,36
sananvapaus,p3,0.0,519
sananvapaus,p3,1.0,34
sananvapaus,p3,2.0,35
tutkimus,p1,,268
tutkimus,p1,0.0,809
tutkimus,p1,1.0,264
tutkimus,p1,2.0,266
tutkimus,p2,,176
tutkimus,p2,0.0,746
tutkimus,p2,1.0,175
tutkimus,p2,2.0,177
tutkimus,p3,,201
tutkimus,p3,0.0,661
tutkimus,p3,1.0,198
tutkimus,p3,2.0,200
